filename,cer,wer,glen,olen
corr.1924-27_W_711_001.txt,1.3,6.9,468,467
corr.1937-38_B_8569_001.txt,3.7,17.1,427,423
corr.1924-27_H_570_002.txt,6.1,16.3,247,248
misc_7_2288_001.txt,8.0,28.6,339,341
corr.1933-40_B_4902_007.txt,8.5,38.4,1502,1514
misc_8_2311_002.txt,8.9,19.0,740,722
topics_186_14618_001.txt,10.0,31.2,1477,1437
I-D_Harvard2A2B-lecture-25_15870_003.txt,10.3,31.2,389,382
corr.1931-33_P_7705_001.txt,10.4,36.0,480,470
misc_43_9198_002.txt,11.4,27.1,280,275
I.A_LibComm_15017_001.txt,11.9,28.0,160,159
corr.1927-29_W_2070_003.txt,12.1,36.5,917,885
misc_31_7242_001.txt,12.8,34.2,430,428
corr.1931-33_N_7691_002.txt,13.1,37.6,929,903
corr.1927-29_B_953_003.txt,13.3,33.0,535,517
ww_II.X_14363_001.txt,14.0,37.9,824,780
misc_8_2311_007.txt,14.3,25.9,683,660
corr.1927-29_B_898_001.txt,17.0,40.3,926,891
misc_65_2495_001.txt,20.0,29.8,380,418
corr.1927-29_W_2145_003.txt,20.2,47.5,247,223
corr.1937-38_R_8652_001.txt,21.0,44.3,452,407
corr.1927-29_C_1091_001.txt,21.8,62.5,174,166
corr.1927-29_C_1103_002.txt,22.9,47.7,815,725
corr.1927-29_D_1279_005.txt,23.5,60.0,51,54
topics_126_14589_002.txt,24.0,49.6,754,695
I-D_Harvard2A2B-lecture-25_15876_001.txt,25.4,56.1,351,336
corr.1930-32_W_4765_001.txt,25.9,60.7,820,755
corr.1938-43_R_8234_001.txt,26.7,56.8,801,783
I.A_ReadLists_14723_005.txt,28.4,65.8,363,338
IV-C-1_SlavicL_14678_006.txt,28.8,75.0,66,64
corr.1927-29_W_2142_003.txt,28.9,60.5,484,414
CWRU_3HB5-2-10_13509_001.txt,29.7,59.8,590,598
books_diaries_13207_008.txt,30.0,69.2,109,93
I-D_Harvard2A2B-lecture-03_15716_001.txt,30.4,76.0,418,381
corr.1924-27_W_733_004.txt,31.3,60.1,786,722
I.A_LibCatsLowCost_14979_001.txt,33.3,80.0,138,120
corr.1927-29_W_2094_001.txt,34.3,51.9,1217,1163
hgww_1921_8773_002.txt,36.7,70.6,471,472
corr.1927-29_L_1615_001.txt,37.0,65.6,397,368
misc_64_14529_018.txt,37.0,67.1,1333,1331
hgww_1919_120_014.txt,39.0,69.0,364,406
ww_I.W_14452_001.txt,39.0,70.0,464,475
CKB_19_13598_001.txt,39.7,84.6,189,163
I.A_HistDeptPol_14863_001.txt,39.8,85.3,236,235
misc_37_15484_003.txt,41.2,85.7,85,88
books_diaries_13207_023.txt,43.1,94.7,209,173
books_diaries_13206_100.txt,46.8,80.5,252,172
misc_41_7396_002.txt,53.3,100.0,30,19
corr.1930-32_C_3611_002.txt,61.5,83.2,2074,2005
